Distance (mm),T (C),P (atm),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1e-11,26.850000828557256,29.607698001480387,1.6331023616342008e-18,2.1614327622337678e-45,8.272657593572987e-43,0.37480654270568386,4.68937431302774e-37,0.10215546707383323,3.6960684330770174e-45,2.6635562816336136e-23,4.036768708612694e-39,1.1186569788037089e-73,1.7373733017555666e-40,2.0553689045086105e-51,4.773361458934726e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,2.945234051733968e-53,3.2886184375245057e-46,7.689181538265289e-60,9.855560130630973e-54,4.658148002266789e-55,1.3266194647468317e-74,3.5008152762091344e-33,8.711520181104891e-53,1.6324618786420286e-18,5.942805845541679e-43,0.015691132332829608,2.4246751390049597e-63,2.586983324975502e-35,1.0294719646602266e-56,9.83722375132694e-78,4.6008946734674456e-97,3.1745556724406494e-122,9.197960354452005e-137,3.200704933603965e-52,9.157346484774059e-85,3.0344172978433786e-123,4.1307004966530006e-29,3.2622148301470255e-108,1.5287127735423892e-61,1.1376257601130784e-71,2.234049641474556e-103,2.504546151902733e-51,7.260736513099582e-129,2.8251362315540422e-123,9.912802182907575e-80,1.8224430065863733e-65,0.005230623237105532,0.0,1.8444146679947343e-28,1.7395851360652805e-28,6.687355114585623e-47,1.5140891027557327e-76
2e-11,26.850000828557256,29.607698001480387,1.6331023616342008e-18,4.322055386385373e-45,1.654362144499239e-42,0.37480654270568386,4.689373766807817e-37,0.10215546707383323,7.392932573491165e-45,2.6635562816336136e-23,4.035941924834554e-39,2.235601665256952e-73,1.7373561083296939e-40,4.107885701172613e-51,4.77336145893472e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,5.890275908647804e-53,6.577205938513276e-46,2.3056590888723774e-59,1.9711120163450177e-53,1.396798018396114e-54,1.3261821839914188e-74,3.5008152762091344e-33,8.711157067098151e-53,1.6324618786420286e-18,1.1885611591439885e-42,0.015691132332829608,2.4246579480222584e-63,2.586983324975502e-35,1.0294719646602266e-56,1.9672432704205175e-77,1.3798462809210456e-96,1.1407736932907856e-121,4.225074722280587e-136,3.200532014921153e-52,2.7470944013505885e-84,1.2137309345963858e-122,4.1307004966530006e-29,1.3045866316242414e-107,1.5285305508515175e-61,2.2751159151400995e-71,4.468151577745916e-103,2.5042672263799667e-51,2.904193378465148e-128,8.475071280040619e-123,2.973722494187075e-79,3.6446687778134416e-65,0.005230623237105532,0.0,1.8444146679947343e-28,1.7395851360652805e-28,6.687352532606428e-47,3.028177620963641e-76
4e-11,26.850000828557256,29.607698001480387,1.6331023616342008e-18,8.641334001763308e-45,3.308143676515771e-42,0.37480654270568386,4.6893726743679755e-37,0.10215546707383323,1.4788592441752259e-44,2.6635562816336136e-23,4.034288768508671e-39,4.4653395954096575e-73,1.7373217218911723e-40,8.206003974504361e-51,4.773361458934709e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,1.1779892899660464e-52,1.3154305809778479e-45,7.24072812219098e-59,3.9422239991545685e-53,4.386614922053067e-54,1.3253079725311686e-74,3.5008152762091344e-33,8.710430876635026e-53,1.6324618786420286e-18,2.3771222841244316e-42,0.015691132332829608,2.42462356635286e-63,2.586983324975502e-35,1.0294719646602266e-56,3.933795870703606e-77,4.33525560438663e-96,4.554059201375795e-121,2.2375789597508394e-135,3.2001862110947623e-52,8.633161929359816e-84,5.374855054633973e-122,4.1307004966530006e-29,5.775989166388086e-107,1.5281661582195673e-61,4.549766944739826e-71,8.93648240902399e-103,2.5037094507723725e-51,1.2860633238123654e-127,2.6634202772916167e-122,9.345377338449113e-79,7.2885928226649e-65,0.005230623237105532,0.0,1.8444146679947343e-28,1.7395851360652805e-28,6.68734736865045e-47,6.056353237855387e-76
8e-11,26.850000828557256,29.607698001480387,1.6331023616342008e-18,1.7264412424111416e-44,6.612467900755821e-42,0.37480654270568386,4.689370489488325e-37,0.10215546707383323,2.959511476208215e-44,2.6635562816336136e-23,4.0309856946346574e-39,8.892280506412865e-73,1.7372529522711777e-40,1.6348034223478509e-50,4.773361458934687e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,2.3555448984608936e-52,2.6307913369229826e-45,3.1700295905551838e-58,7.884447777533897e-53,1.9206643149973849e-53,1.3235623051550255e-74,3.5008152762091344e-33,8.708978791642916e-53,1.6324618786420286e-18,4.754244343336828e-42,0.015691132332829608,2.4245548053472068e-63,2.586983324975502e-35,1.0294719646602266e-56,7.863048295181429e-77,1.9032178773733433e-95,3.988150770500506e-120,4.845866494428303e-134,3.1994948676226656e-52,3.792202877523595e-83,5.563905655129125e-121,4.1307004966530006e-29,5.975423492256348e-106,1.5274377885476283e-61,9.096474750929953e-71,1.7874143642438e-102,2.5025944939177116e-51,1.3312376232616487e-126,1.1699347678195588e-121,4.105055066673842e-78,1.4572284995351748e-64,0.005230623237105532,0.0,1.8444146679947343e-28,1.7395851360652807e-28,6.687337040757477e-47,1.2112693283801816e-75
1.6e-10,26.850000828557256,29.607698001480387,1.6331023616342008e-18,3.445898465221494e-44,1.3210307424739304e-41,0.37480654270568386,4.689366119729117e-37,0.10215546707383323,5.925882064061848e-44,2.6635562816336136e-23,4.024390355603753e-39,1.7638737699598933e-72,1.7371154239194802e-40,3.245303813894351e-50,4.773361458934645e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,4.709427197952756e-52,5.261314882405208e-45,1.287918806430635e-57,1.5768894708296317e-52,7.804612620050188e-53,1.3200801563771622e-74,3.5008152762091344e-33,8.706075610680802e-53,1.6324618786420286e-18,9.508487824021815e-42,0.015691132332829608,2.424417291135779e-63,2.586983324975502e-35,1.0294719646602266e-56,1.570869534097304e-76,7.772719777428089e-95,3.1124694492306475e-119,7.699043991488849e-133,3.198113062554293e-52,1.5500173393042e-82,4.665385180680668e-120,4.1307004966530006e-29,5.006472964346532e-105,1.525982437193227e-61,1.8181226105540213e-70,3.575279954322209e-102,2.5003665653835327e-51,1.1161680989180851e-125,4.781973289557727e-121,1.6778952170340806e-77,2.912578945462007e-64,0.005230623237105532,0.0,1.844414667994734e-28,1.7395851360652807e-28,6.687316385034998e-47,2.4225335982721074e-75
3.2e-10,26.850000828557256,29.607698001480387,1.6331023616342008e-18,6.864298969291898e-44,2.636289202222147e-41,0.37480654270568386,4.689357380211088e-37,0.10215546707383323,1.1878767916208221e-43,2.6635562816336136e-23,4.0112427711631674e-39,3.471156128617211e-72,1.7368404107623473e-40,6.396228916720497e-50,4.77336145893456e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,9.412281282756531e-52,1.0521570233065242e-44,5.113589343819578e-57,3.1537786065832125e-52,3.0998176274791647e-52,1.3131524098653977e-74,3.5008152762091344e-33,8.700273202151422e-53,1.6324618786420286e-18,1.901697223433438e-41,0.015691132332829608,2.4241422939088966e-63,2.586983324975502e-35,1.0294719646602266e-56,3.134872624440857e-76,3.117872049766142e-94,2.421954339071612e-118,1.199770055819839e-131,3.1953529700891345e-52,6.227219480319929e-82,3.768156078931419e-119,4.1307004966530006e-29,4.037757066983537e-104,1.5230772758725294e-61,3.631613776364468e-70,7.152338392808896e-102,2.4959186348899437e-51,9.013710266073175e-125,1.9211698032178607e-120,6.740997018278899e-77,5.8177384526696753e-64,0.005230623237105532,0.0,1.8444146679947334e-28,1.7395851360652814e-28,6.687275073843919e-47,4.84504718909594e-75
6.4e-10,26.850000828557256,29.607698001480387,1.6331023616342008e-18,1.3619992375649588e-43,5.249680603607426e-41,0.37480654270568386,4.689339901176579e-37,0.10215546707383323,2.3864170852719736e-43,2.6635562816336136e-23,3.985118854148049e-39,6.72503626408586e-72,1.7362905585779203e-40,1.2429628758409489e-49,4.7733614589343905e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,1.8798388554064997e-51,2.1038914975484873e-44,1.997039184941866e-56,6.3075558764916466e-52,1.2114109941482056e-51,1.2994415942991815e-74,3.5008152762091344e-33,8.688684177152632e-53,1.6324618786420286e-18,3.8033930849949636e-41,0.015691132332829608,2.423592424210718e-63,2.586983324975502e-35,1.0294719646602266e-56,6.242507074044543e-76,1.2423421143448205e-93,1.8980750657471803e-117,1.8798119941270515e-130,3.189846777953964e-52,2.4888426095645294e-81,3.0159842666425165e-118,4.1307004966530006e-29,3.222557466097678e-103,1.517289034546483e-61,7.244812270912025e-70,1.4311715704134925e-101,2.487054367596763e-51,7.2122185316930115e-124,7.678404115880208e-120,2.69420560060283e-76,1.1605976165518077e-63,0.005230623237105532,0.0,1.8444146679947325e-28,1.7395851360652827e-28,6.687192452477256e-47,9.690014640244377e-75
1.28e-09,26.850000828557256,29.607698001480387,1.6331023616342008e-18,2.6814360921975228e-43,1.040884780827604e-40,0.37480654270568386,4.6893049431138495e-37,0.10215546707383323,4.8146095038847985e-43,2.6635562816336136e-23,3.933547162854326e-39,1.2643967214642553e-71,1.735191550287065e-40,2.3509752874398375e-49,4.77336145893405e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,3.7492527367911163e-51,4.206094863836982e-44,7.608102986544211e-56,1.2615106409890895e-51,4.621388697568064e-51,1.2725867117000918e-74,3.5008152762091344e-33,8.665569123707437e-53,1.6324618786420286e-18,7.606780725498187e-41,0.015691132332829608,2.4224931836103728e-63,2.586983324975502e-35,1.0294719646602266e-56,1.2377343576690194e-75,4.919748629968536e-93,1.4909561762785344e-116,2.952715737843044e-129,3.1788897536626456e-52,9.915518132267483e-81,2.4045496882246576e-117,4.1307004966530006e-29,2.5547644153322525e-102,1.5058002083619399e-61,1.4416491393432012e-69,2.865112837438789e-101,2.4694513133218116e-51,5.7465061181859955e-123,3.0590937132195483e-119,1.073384505970429e-75,2.30947951783803e-63,0.005230623237105532,0.0,1.84441466799473e-28,1.739585136065285e-28,6.68702721380588e-47,1.9379711135467422e-74
2.56e-09,26.850000828557256,29.607698001480387,1.6331023616342008e-18,5.199167496859483e-43,2.0463630414312854e-40,0.37480654270568386,4.689235027014268e-37,0.10215546707383323,9.789781080725251e-43,2.6635562816336136e-23,3.833039245446044e-39,2.249138266899121e-71,1.7329963144915596e-40,4.231569257005374e-49,4.773361458933369e-28,0.5021162346505477,9.610338371720143e-25,1.5156555776184758e-24,7.457110274499004e-51,8.405445670691082e-44,2.774066222586841e-55,2.5230191450867655e-51,1.6896768106239928e-50,1.2210521259067716e-74,3.5008152762091344e-33,8.619589636972452e-53,1.6324618786420286e-18,1.5213539671227383e-40,0.015691132332829608,2.4202966957846818e-63,2.586983324975502e-35,1.0294719646602266e-56,2.4333507660021484e-75,1.9280238814458472e-92,1.164900212663737e-115,4.6155056665328646e-128,3.1571924379592754e-52,3.932373330531026e-80,1.90857033444702e-116,4.1307004966530006e-29,2.005293496251087e-101,1.4831679119284383e-61,2.8544267827650755e-69,5.740959593042582e-101,2.4347400708834985e-51,4.55553880840375e-122,1.2132199088439511e-118,4.257038776562029e-75,4.5727077484085497e-63,0.005230623237105532,0.0,1.8444146679947254e-28,1.7395851360652893e-28,6.686696752710578e-47,3.875815449556526e-74
5.12e-09,26.850000828557256,29.607698001480387,1.6331023616342008e-18,9.791507707379188e-43,3.957151830670934e-40,0.37480654270568386,4.689095194924576e-37,0.10215546707383323,2.0173859837443905e-42,2.6635562816336136e-23,3.642039973379132e-39,3.636436228629149e-71,1.728616937917177e-40,7.001254691989274e-49,4.773361458932008e-28,0.5021162346505477,9.610338371720145e-25,1.5156555776184758e-24,1.4750989995956815e-50,1.6783974679501377e-43,9.390671589568084e-55,5.0460297428682314e-51,5.7516714259154445e-50,1.1260063367108445e-74,3.5008152762091344e-33,8.528622333541634e-53,1.6324618786420286e-18,3.0426992185146066e-40,0.015691132332829608,2.415911679187155e-63,2.586983324975502e-35,1.0294719646602266e-56,4.705428838594694e-75,7.406919544900328e-92,8.954663837417768e-115,7.103534760484347e-127,3.11462976077808e-52,1.5462974117135986e-79,1.5028970304015638e-115,4.1307004966530006e-29,1.5449892670832017e-100,1.439243831881587e-61,5.596303131035538e-69,1.152223893414997e-100,2.367242174087371e-51,3.5783859350469895e-121,4.770805214593787e-118,1.674059202109175e-74,8.965113011207126e-63,0.005230623237105532,0.0,1.8444146679947162e-28,1.7395851360652984e-28,6.686035895507016e-47,7.751127283869458e-74
