     Time [s]       ,                Y_H2,               Y_H2O,                Y_CO,               Y_CO2,               Y_CH4,  Temperature [K] 
 0.000000000000E+000, 7.481552452403E-002, 2.286046617583E-001, 5.842339448665E-001, 1.044372298844E-001, 7.726075217034E-004, 1.600000000000E+003
 0.000000000000E+000, 3.700255482757E-002, 3.263640452759E-001, 3.418413507029E-001, 1.748656480980E-001, 1.035684882231E-001, 1.600000000000E+003
 0.000000000000E+000, 3.700255482757E-002, 3.263640452759E-001, 3.418413507029E-001, 1.748656480980E-001, 1.035684882231E-001, 1.600000000000E+003
 0.000000000000E+000, 1.631136798896E-002, 3.742084543182E-001, 1.718928361143E-001, 2.485514635579E-001, 1.588036871128E-001, 1.436950654868E+003
