     Time [s]       ,                Y_H2,               Y_H2O,               Y_CH4,                Y_CO,               Y_CO2,  Temperature [K] 
 0.000000000000E+000, 7.480714260421E-002, 2.285850728644E-001, 7.726974748614E-004, 5.841860874751E-001, 1.044992678856E-001, 1.600000000000E+003
 0.000000000000E+000, 2.425620918942E-002, 3.659229594139E-001, 1.272173552796E-001, 2.355499772917E-001, 2.105057235904E-001, 1.600000000000E+003
 0.000000000000E+000, 2.425620918942E-002, 3.659229594139E-001, 1.272173552796E-001, 2.355499772917E-001, 2.105057235904E-001, 1.600000000000E+003
 0.000000000000E+000, 1.209593429945E-002, 3.890030222178E-001, 1.594932747861E-001, 1.210209981565E-001, 2.720761544511E-001, 1.483456226453E+003
