     Time [s]       ,Y_H2                ,Y_H2O               ,Y_CH4               ,Y_CO                ,Y_CO2               ,  Temperature [K]   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
 0.000000000000E+000, 1.734549150469E-002, 4.597241193241E-001, 3.777598603712E-006, 2.032127518574E-001, 3.152962994937E-001, 1.600000000000E+003,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
 0.000000000000E+000, 7.849928935374E-003, 4.790218669055E-001, 2.518594490505E-002, 1.036959275932E-001, 3.696407616638E-001, 1.600000000000E+003,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
 0.000000000000E+000, 7.849928935374E-003, 4.790218669055E-001, 2.518594490505E-002, 1.036959275932E-001, 3.696407616638E-001, 1.600000000000E+003,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
 0.000000000000E+000, 1.384400468009E-002, 4.692082222398E-001, 6.219364951219E-009, 2.732207806813E-001, 2.052882125235E-001, 3.283475207002E+003,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
