     Time [s]       ,               Y_CH4,                Y_CO,               Y_CO2,                Y_H2,               Y_H2O,  Temperature [K] 
 0.000000000000E+000, 8.322202536226E-005, 4.615796569450E-001, 2.242486029997E-001, 3.327702934728E-002, 2.763455246809E-001, 1.600000000000E+003
 0.000000000000E+000, 4.250896823779E-002, 3.025016717719E-001, 3.108609781188E-001, 1.772984517354E-002, 3.075667747915E-001, 1.600000000000E+003
 0.000000000000E+000, 4.250896823779E-002, 3.025016717719E-001, 3.108609781188E-001, 1.772984517354E-002, 3.075667747915E-001, 1.600000000000E+003
 0.000000000000E+000, 8.300549938486E-002, 1.177193294469E-001, 4.549043775456E-001, 6.340820597026E-003, 3.074658056245E-001, 1.361634161980E+003
