Distance_PFRC4_(m), Plug_flow_residence_time_PFRC4_(sec), Internal_surface_area_per_unit_distance_PFRC4_(m), Cross-section_area_PFRC4_(m2), External_surface_area_per_unit_distance_PFRC4_(m), Velocity_PFRC4_(m/sec), Exit_mass_flow_rate_PFRC4_(kg/sec), Volumetric_heat_production_rate_PFRC4_(J/m3-sec), Surface_temperature_PFRC4_(K), Heat_loss_rate_PFRC4_(J/m-sec), Temperature_PFRC4_(K), Pressure_PFRC4_(Pa), Mole_fraction_N2_PFRC4_(), Mole_fraction_H2_PFRC4_(), Mole_fraction_H_PFRC4_(), Mole_fraction_O2_PFRC4_(), Mole_fraction_H2O_PFRC4_(), Mole_fraction_OH_PFRC4_(), Mole_fraction_CO_PFRC4_(), Mole_fraction_CO2_PFRC4_(), Mole_fraction_CH4_PFRC4_(), Mole_fraction_CH3_PFRC4_(), Mole_fraction_CH3OH_PFRC4_(), Mole_fraction_CH2O_PFRC4_(), Mole_fraction_HCO_PFRC4_(), Mole_fraction_HOCHO_PFRC4_(), Mole_fraction_C2H6_PFRC4_(), Mole_fraction_C2H5_PFRC4_(), Mole_fraction_C2H4_PFRC4_(), Mole_fraction_C2H3_PFRC4_(), Mole_fraction_CHCHO_PFRC4_(), Mole_fraction_C2H2_PFRC4_(), Mole_fraction_CH3CHO_PFRC4_(), Mole_fraction_C2H3OH_PFRC4_(), Mole_fraction_CH2CO_PFRC4_(), Mole_fraction_HCCOH_PFRC4_(), Mole_fraction_C3H6_PFRC4_(), Mole_fraction_C3H4-P_PFRC4_(), Mole_fraction_C3H4-A_PFRC4_(), Mole_fraction_C3H3_PFRC4_(), Mole_fraction_CCYCCO-T1_PFRC4_(), Mole_fraction_C4H4_PFRC4_(), Mole_fraction_C6H6_PFRC4_(), Mole_fraction_OC5H7O_PFRC4_(), Molecular_weight_PFRC4_(kg/mole), Mass_density_PFRC4_(kg/m3), Unburned_hydrocarbons_PFRC4_(ppm), Volatile_organic_compounds_PFRC4_(ppm)
0.000000e+00, 0.000000e+00, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.626561e-02, 2.632701e-01, -1.941899e+06, 1.729800e+03, 0.000000e+00, 1.729800e+03, 4.700000e+06, 3.531304e-03, 4.779882e-01, 1.968687e-05, 1.788306e-08, 1.956008e-01, 5.179886e-07, 2.766494e-01, 3.239794e-02, 1.354840e-02, 1.143492e-05, 5.991555e-07, 2.963203e-06, 1.877845e-07, 1.568429e-07, 3.155912e-06, 2.249047e-08, 8.285719e-05, 3.048921e-08, 6.109015e-05, 9.786730e-05, 5.866010e-08, 4.896553e-08, 7.364126e-07, 1.352184e-08, 1.121200e-07, 2.952497e-07, 1.154664e-07, 1.552621e-08, 2.647400e-08, 1.664606e-08, 1.913806e-06, 4.029317e-08, 1.398670e-02, 4.570697e+00, 1.394098e+04, 1.406912e+04
1.000000e-04, 1.159236e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.626031e-02, 2.632701e-01, -4.709832e+06, 1.729456e+03, 2.501106e+04, 1.729456e+03, 4.699955e+06, 3.530852e-03, 4.779382e-01, 1.951643e-05, 9.604591e-09, 1.956490e-01, 5.131270e-07, 2.768791e-01, 3.222479e-02, 1.353416e-02, 1.132412e-05, 5.929816e-07, 2.961588e-06, 1.865010e-07, 1.574797e-07, 2.785992e-06, 1.808548e-08, 6.628433e-05, 2.381027e-08, 6.086319e-05, 7.636397e-05, 5.173766e-08, 3.911134e-08, 7.108098e-07, 1.053338e-08, 8.822878e-08, 2.271516e-07, 8.863559e-08, 1.177903e-08, 2.647054e-08, 9.975650e-09, 9.742356e-07, 4.028703e-08, 1.398491e-02, 4.570978e+00, 1.384365e+04, 1.397122e+04
2.000000e-04, 2.318581e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.625094e-02, 2.632701e-01, -5.309273e+06, 1.728993e+03, 2.501106e+04, 1.728993e+03, 4.699955e+06, 3.530291e-03, 4.780177e-01, 1.940328e-05, 9.560251e-09, 1.956053e-01, 5.093225e-07, 2.770048e-01, 3.214123e-02, 1.347140e-02, 1.120431e-05, 5.869707e-07, 2.960315e-06, 1.857582e-07, 1.577467e-07, 2.647192e-06, 1.654037e-08, 6.050299e-05, 2.145637e-08, 6.063677e-05, 6.878903e-05, 4.920909e-08, 3.563405e-08, 6.978117e-07, 9.462157e-09, 7.941660e-08, 2.014111e-07, 7.842562e-08, 1.032197e-08, 2.646633e-08, 7.902121e-09, 4.831543e-07, 4.027965e-08, 1.398269e-02, 4.571475e+00, 1.375066e+04, 1.387772e+04
3.000000e-04, 3.478055e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.624108e-02, 2.632701e-01, -5.302835e+06, 1.728506e+03, 2.501106e+04, 1.728506e+03, 4.699955e+06, 3.529699e-03, 4.781522e-01, 1.931217e-05, 9.507906e-09, 1.955188e-01, 5.059410e-07, 2.770815e-01, 3.210126e-02, 1.339314e-02, 1.108403e-05, 5.810777e-07, 2.959107e-06, 1.852043e-07, 1.578713e-07, 2.584719e-06, 1.593249e-08, 5.829307e-05, 2.052156e-08, 6.041206e-05, 6.582969e-05, 4.812997e-08, 3.425289e-08, 6.890365e-07, 9.026568e-09, 7.568983e-08, 1.902766e-07, 7.398764e-08, 9.669887e-09, 2.646190e-08, 7.116105e-09, 2.382587e-07, 4.027193e-08, 1.398035e-02, 4.571997e+00, 1.366028e+04, 1.378685e+04
4.000000e-04, 4.637660e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.623146e-02, 2.632701e-01, -5.193358e+06, 1.728023e+03, 2.501106e+04, 1.728023e+03, 4.699955e+06, 3.529108e-03, 4.783074e-01, 1.922932e-05, 9.455307e-09, 1.954146e-01, 5.027388e-07, 2.771367e-01, 3.208085e-02, 1.331139e-02, 1.096586e-05, 5.752959e-07, 2.957911e-06, 1.847106e-07, 1.579464e-07, 2.543553e-06, 1.558503e-08, 5.707276e-05, 1.998334e-08, 6.018942e-05, 6.415853e-05, 4.745340e-08, 3.345453e-08, 6.815177e-07, 8.769317e-09, 7.343962e-08, 1.835668e-07, 7.132250e-08, 9.273892e-09, 2.645746e-08, 6.716838e-09, 1.208586e-07, 4.026422e-08, 1.397800e-02, 4.572508e+00, 1.357179e+04, 1.369789e+04
5.000000e-04, 5.797393e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.622211e-02, 2.632701e-01, -5.084738e+06, 1.727550e+03, 2.501106e+04, 1.727550e+03, 4.699955e+06, 3.528523e-03, 4.784685e-01, 1.915001e-05, 9.403073e-09, 1.953047e-01, 4.996362e-07, 2.771831e-01, 3.206832e-02, 1.322983e-02, 1.085039e-05, 5.696332e-07, 2.956733e-06, 1.842382e-07, 1.580053e-07, 2.507610e-06, 1.529873e-08, 5.608327e-05, 1.953936e-08, 5.996892e-05, 6.279297e-05, 4.687252e-08, 3.279353e-08, 6.743882e-07, 8.555115e-09, 7.157302e-08, 1.780999e-07, 6.916698e-08, 8.955741e-09, 2.645308e-08, 6.418848e-09, 6.457324e-08, 4.025659e-08, 1.397569e-02, 4.573003e+00, 1.348497e+04, 1.361060e+04
6.000000e-04, 6.957250e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.621297e-02, 2.632701e-01, -4.996644e+06, 1.727086e+03, 2.501106e+04, 1.727086e+03, 4.699955e+06, 3.527949e-03, 4.786291e-01, 1.907251e-05, 9.351538e-09, 1.951946e-01, 4.966037e-07, 2.772265e-01, 3.205810e-02, 1.314953e-02, 1.073760e-05, 5.640915e-07, 2.955582e-06, 1.837744e-07, 1.580606e-07, 2.472397e-06, 1.501981e-08, 5.511661e-05, 1.910942e-08, 5.975055e-05, 6.146763e-05, 4.630441e-08, 3.215079e-08, 6.674203e-07, 8.348176e-09, 6.978640e-08, 1.729510e-07, 6.714622e-08, 8.661276e-09, 2.644877e-08, 6.150955e-09, 3.230155e-08, 4.024909e-08, 1.397341e-02, 4.573488e+00, 1.339967e+04, 1.352484e+04
7.000000e-04, 8.117227e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.620400e-02, 2.632701e-01, -4.914726e+06, 1.726629e+03, 2.501106e+04, 1.726629e+03, 4.699955e+06, 3.527384e-03, 4.787885e-01, 1.899678e-05, 9.300694e-09, 1.950850e-01, 4.936403e-07, 2.772678e-01, 3.204934e-02, 1.307039e-02, 1.062737e-05, 5.586707e-07, 2.954465e-06, 1.833203e-07, 1.581127e-07, 2.438454e-06, 1.475404e-08, 5.419634e-05, 1.870139e-08, 5.953425e-05, 6.021040e-05, 4.575857e-08, 3.153898e-08, 6.606370e-07, 8.151999e-09, 6.809871e-08, 1.681379e-07, 6.526273e-08, 8.388747e-09, 2.644453e-08, 5.909550e-09, 1.471030e-08, 4.024169e-08, 1.397117e-02, 4.573964e+00, 1.331586e+04, 1.344057e+04
8.000000e-04, 9.277325e-03, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.619516e-02, 2.632701e-01, -4.834571e+06, 1.726180e+03, 2.501106e+04, 1.726180e+03, 4.699955e+06, 3.526828e-03, 4.789459e-01, 1.892266e-05, 9.250548e-09, 1.949767e-01, 4.907424e-07, 2.773078e-01, 3.204135e-02, 1.299243e-02, 1.051960e-05, 5.533685e-07, 2.953383e-06, 1.828752e-07, 1.581629e-07, 2.405656e-06, 1.449987e-08, 5.331661e-05, 1.831268e-08, 5.931997e-05, 5.901265e-05, 4.523265e-08, 3.095461e-08, 6.540283e-07, 7.965352e-09, 6.649480e-08, 1.635967e-07, 6.348861e-08, 8.133430e-09, 2.644037e-08, 5.687873e-09, 4.628760e-09, 4.023441e-08, 1.396897e-02, 4.574433e+00, 1.323348e+04, 1.335774e+04
9.000000e-04, 1.043754e-02, 2.896647e+00, 6.677000e-01, 2.896647e+00, 8.618647e-02, 2.632701e-01, -4.758819e+06, 1.725738e+03, 2.501106e+04, 1.725738e+03, 4.699955e+06, 3.526281e-03, 4.791011e-01, 1.885003e-05, 9.201094e-09, 1.948699e-01, 4.879069e-07, 2.773466e-01, 3.203387e-02, 1.291566e-02, 1.041422e-05, 5.481814e-07, 2.952335e-06, 1.824383e-07, 1.582114e-07, 2.373813e-06, 1.425501e-08, 5.246893e-05, 1.793971e-08, 5.910768e-05, 5.786291e-05, 4.472315e-08, 3.039252e-08, 6.475805e-07, 7.786581e-09, 6.495988e-08, 1.592780e-07, 6.180348e-08, 7.892093e-09, 2.643627e-08, 5.481594e-09, -4.101131e-10, 4.022724e-08, 1.396680e-02, 4.574895e+00, 1.315250e+04, 1.327631e+04
