Distance_PFRC3_(m), Plug_flow_residence_time_PFRC3_(sec), Internal_surface_area_per_unit_distance_PFRC3_(m), Cross-section_area_PFRC3_(m2), External_surface_area_per_unit_distance_PFRC3_(m), Velocity_PFRC3_(m/sec), Exit_mass_flow_rate_PFRC3_(kg/sec), Volumetric_heat_production_rate_PFRC3_(J/m3-sec), Surface_temperature_PFRC3_(K), Temperature_PFRC3_(K), Pressure_PFRC3_(Pa), Mole_fraction_N2_PFRC3_(), Mole_fraction_H2_PFRC3_(), Mole_fraction_H_PFRC3_(), Mole_fraction_O2_PFRC3_(), Mole_fraction_H2O_PFRC3_(), Mole_fraction_OH_PFRC3_(), Mole_fraction_HO2_PFRC3_(), Mole_fraction_CO_PFRC3_(), Mole_fraction_CO2_PFRC3_(), Mole_fraction_CH4_PFRC3_(), Mole_fraction_CH3_PFRC3_(), Mole_fraction_CH3OH_PFRC3_(), Mole_fraction_CH2O_PFRC3_(), Mole_fraction_HCO_PFRC3_(), Mole_fraction_HOCHO_PFRC3_(), Mole_fraction_C2H6_PFRC3_(), Mole_fraction_C2H5_PFRC3_(), Mole_fraction_C2H4_PFRC3_(), Mole_fraction_C2H3_PFRC3_(), Mole_fraction_CHOCHO_PFRC3_(), Mole_fraction_CHCHO_PFRC3_(), Mole_fraction_C2H2_PFRC3_(), Mole_fraction_CH3CHO_PFRC3_(), Mole_fraction_C2H3OH_PFRC3_(), Mole_fraction_CH2CO_PFRC3_(), Mole_fraction_HCCOH_PFRC3_(), Mole_fraction_C3H8_PFRC3_(), Mole_fraction_C3H6_PFRC3_(), Mole_fraction_C3H5-A_PFRC3_(), Mole_fraction_CH3CHCO_PFRC3_(), Mole_fraction_C3H4-P_PFRC3_(), Mole_fraction_C3H4-A_PFRC3_(), Mole_fraction_C3H3_PFRC3_(), Mole_fraction_CCYCCO-T1_PFRC3_(), Mole_fraction_C4H6_PFRC3_(), Mole_fraction_C4H4_PFRC3_(), Mole_fraction_C4H3-I_PFRC3_(), Mole_fraction_C4H2_PFRC3_(), Mole_fraction_C4H612_PFRC3_(), Mole_fraction_C4H6-2_PFRC3_(), Mole_fraction_H2C4O_PFRC3_(), Mole_fraction_L-C6H4_PFRC3_(), Mole_fraction_C-C6H4_PFRC3_(), Mole_fraction_C6H2_PFRC3_(), Mole_fraction_C6H6_PFRC3_(), Mole_fraction_FULVENE_PFRC3_(), Mole_fraction_C6H5OH_PFRC3_(), Mole_fraction_C6H5O_PFRC3_(), Mole_fraction_C5H6_PFRC3_(), Mole_fraction_C5H5_PFRC3_(), Mole_fraction_C5H4O_PFRC3_(), Mole_fraction_OC5H7O_PFRC3_(), Mole_fraction_IND_PFRC3_(), Mole_fraction_C9H7_PFRC3_(), Mole_fraction_C9H6O_PFRC3_(), Molecular_weight_PFRC3_(kg/mole), Mass_density_PFRC3_(kg/m3), Unburned_hydrocarbons_PFRC3_(ppm), Volatile_organic_compounds_PFRC3_(ppm)
0.000000e+00, 0.000000e+00, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028184e+01, 5.265401e+00, 8.863796e+08, 1.728776e+03, 1.728776e+03, 4.700000e+06, 3.531144e-03, 4.783747e-01, 1.961145e-05, 6.774461e-05, 1.952692e-01, 5.614756e-07, 2.067968e-07, 2.762629e-01, 3.267395e-02, 1.344328e-02, 1.278657e-05, 1.381460e-06, 4.151591e-06, 1.879374e-07, 1.569437e-07, 6.397701e-06, 2.743597e-08, 9.351616e-05, 4.802307e-08, 5.897240e-08, 6.126945e-05, 1.598000e-04, 1.798949e-07, 2.168717e-07, 3.397123e-06, 1.576393e-07, 1.814398e-08, 7.165622e-07, 2.623023e-08, 7.149135e-08, 3.818085e-06, 1.473494e-06, 4.110903e-07, 2.647280e-08, 2.107477e-07, 8.905761e-07, 1.286133e-08, 1.328985e-06, 3.748726e-08, 2.383209e-08, 2.213990e-08, 1.265322e-08, 2.760158e-08, 1.840378e-08, 3.102929e-06, 5.911655e-08, 1.957287e-07, 1.118758e-08, 1.381447e-07, 2.352305e-08, 3.387274e-08, 4.029214e-08, 7.860436e-08, 1.551260e-08, 1.138979e-08, 1.398606e-02, 4.573198e+00, 1.402628e+04, 1.416491e+04
1.000000e-04, 9.725288e-06, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028271e+01, 5.265401e+00, 2.168746e+08, 1.728940e+03, 1.728940e+03, 4.700000e+06, 3.531181e-03, 4.783457e-01, 2.249418e-05, 5.636337e-05, 1.952956e-01, 5.917247e-07, 1.295688e-07, 2.762725e-01, 3.267176e-02, 1.345052e-02, 1.295288e-05, 9.633225e-07, 3.304585e-06, 2.148676e-07, 1.501251e-07, 4.419624e-06, 3.162718e-08, 9.974513e-05, 5.219452e-08, 5.202973e-08, 6.126896e-05, 1.587746e-04, 9.719114e-08, 7.925261e-08, 2.040356e-06, 4.464746e-08, 4.145394e-09, 4.566152e-07, 1.244600e-08, 5.888561e-08, 1.899280e-06, 8.465593e-07, 1.146544e-07, 2.647308e-08, 8.624699e-08, 8.542712e-07, 6.942546e-09, 9.527293e-07, 4.513444e-09, 3.844995e-09, 1.956726e-09, 1.423610e-08, 2.206318e-08, 1.265002e-08, 3.189784e-06, 2.344841e-08, 1.312918e-07, 1.626053e-09, 6.952688e-08, 5.755387e-09, 1.296791e-08, 4.029257e-08, 4.571740e-08, 4.583024e-09, 5.962334e-09, 1.398621e-02, 4.572812e+00, 1.402766e+04, 1.416088e+04
2.000000e-04, 1.944961e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028341e+01, 5.265401e+00, 1.821344e+08, 1.729076e+03, 1.729076e+03, 4.700000e+06, 3.531220e-03, 4.783263e-01, 2.208518e-05, 4.755298e-05, 1.953171e-01, 5.808889e-07, 1.077560e-07, 2.762806e-01, 3.266921e-02, 1.345373e-02, 1.271865e-05, 8.218553e-07, 3.141285e-06, 2.108378e-07, 1.486195e-07, 4.125875e-06, 3.174960e-08, 1.033769e-04, 5.110325e-08, 4.614837e-08, 6.126831e-05, 1.565521e-04, 8.067833e-08, 7.017829e-08, 1.485336e-06, 2.855046e-08, 3.483211e-09, 3.264440e-07, 8.183978e-09, 4.890647e-08, 1.210202e-06, 5.304318e-07, 7.174600e-08, 2.647337e-08, 4.783572e-08, 7.482671e-07, 5.484861e-09, 7.168302e-07, 2.444552e-09, 2.150927e-09, 1.269885e-09, 1.343045e-08, 1.712720e-08, 9.573743e-09, 3.218789e-06, 1.341241e-08, 9.177054e-08, 1.126214e-09, 4.066696e-08, 3.372213e-09, 6.229561e-09, 4.029301e-08, 2.731581e-08, 2.725265e-09, 3.496848e-09, 1.398636e-02, 4.572502e+00, 1.402747e+04, 1.415884e+04
3.000000e-04, 2.917320e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028394e+01, 5.265401e+00, 1.535837e+08, 1.729180e+03, 1.729180e+03, 4.700000e+06, 3.531250e-03, 4.783111e-01, 2.175853e-05, 4.078905e-05, 1.953343e-01, 5.722470e-07, 9.141508e-08, 2.762878e-01, 3.266635e-02, 1.345591e-02, 1.253355e-05, 7.613240e-07, 3.087782e-06, 2.076516e-07, 1.488661e-07, 4.054435e-06, 3.182396e-08, 1.057309e-04, 5.008114e-08, 4.123399e-08, 6.126739e-05, 1.543201e-04, 7.710555e-08, 6.915264e-08, 1.245005e-06, 2.488687e-08, 3.242556e-09, 2.669861e-07, 6.361106e-09, 4.142252e-08, 9.302208e-07, 3.999904e-07, 5.430637e-08, 2.647360e-08, 3.408848e-08, 6.431326e-07, 4.459864e-09, 5.685911e-07, 1.808999e-09, 1.680669e-09, 9.925891e-10, 1.197333e-08, 1.352767e-08, 7.730310e-09, 3.223802e-06, 1.007990e-08, 6.933770e-08, 8.462507e-10, 2.844751e-08, 2.363016e-09, 3.779897e-09, 4.029335e-08, 1.845983e-08, 1.839473e-09, 2.321889e-09, 1.398649e-02, 4.572267e+00, 1.402683e+04, 1.415738e+04
4.000000e-04, 3.889654e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028442e+01, 5.265401e+00, 1.285969e+08, 1.729274e+03, 1.729274e+03, 4.700000e+06, 3.531278e-03, 4.782969e-01, 2.146667e-05, 3.466750e-05, 1.953502e-01, 5.645272e-07, 7.682325e-08, 2.762946e-01, 3.266340e-02, 1.345797e-02, 1.236852e-05, 7.133718e-07, 3.046658e-06, 2.048076e-07, 1.492752e-07, 4.001254e-06, 3.186721e-08, 1.077439e-04, 4.913156e-08, 3.665928e-08, 6.126637e-05, 1.521880e-04, 7.455907e-08, 6.850484e-08, 1.057529e-06, 2.225158e-08, 3.053512e-09, 2.205486e-07, 4.945705e-09, 3.473140e-08, 7.138987e-07, 2.992275e-07, 4.084395e-08, 2.647381e-08, 2.353348e-08, 5.452598e-07, 3.566389e-09, 4.415564e-07, 1.324156e-09, 1.324336e-09, 7.600218e-10, 1.051349e-08, 1.038860e-08, 6.148582e-09, 3.224258e-06, 7.601780e-09, 5.079357e-08, 6.158727e-10, 1.882183e-08, 1.568887e-09, 1.932992e-09, 4.029366e-08, 1.137568e-08, 1.131836e-09, 1.393219e-09, 1.398660e-02, 4.572054e+00, 1.402611e+04, 1.415602e+04
5.000000e-04, 4.861945e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028481e+01, 5.265401e+00, 1.089026e+08, 1.729351e+03, 1.729351e+03, 4.700000e+06, 3.531301e-03, 4.782848e-01, 2.123569e-05, 2.966991e-05, 1.953637e-01, 5.584208e-07, 6.529174e-08, 2.763010e-01, 3.266029e-02, 1.345980e-02, 1.223862e-05, 6.874279e-07, 3.027191e-06, 2.025621e-07, 1.499687e-07, 3.980018e-06, 3.185600e-08, 1.091599e-04, 4.830888e-08, 3.267894e-08, 6.126519e-05, 1.502309e-04, 7.380819e-08, 6.851813e-08, 9.625308e-07, 2.141536e-08, 2.954766e-09, 1.968916e-07, 4.243207e-09, 2.942745e-08, 6.089544e-07, 2.503898e-07, 3.434001e-08, 2.647398e-08, 1.856356e-08, 4.600934e-07, 2.903033e-09, 3.516212e-07, 1.102992e-09, 1.167324e-09, 6.057115e-10, 9.048898e-09, 8.055192e-09, 5.024740e-09, 3.216738e-06, 6.618494e-09, 3.905314e-08, 4.722496e-10, 1.373416e-08, 1.151042e-09, 1.140666e-09, 4.029391e-08, 7.391489e-09, 7.358992e-10, 8.954548e-10, 1.398669e-02, 4.571881e+00, 1.402525e+04, 1.415481e+04
6.000000e-04, 5.834192e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028511e+01, 5.265401e+00, 9.395633e+07, 1.729411e+03, 1.729411e+03, 4.700000e+06, 3.531319e-03, 4.782744e-01, 2.105688e-05, 2.577389e-05, 1.953749e-01, 5.536966e-07, 5.637172e-08, 2.763070e-01, 3.265703e-02, 1.346160e-02, 1.213851e-05, 6.704098e-07, 3.014452e-06, 2.008252e-07, 1.505897e-07, 3.962615e-06, 3.179811e-08, 1.100712e-04, 4.761471e-08, 2.938581e-08, 6.126386e-05, 1.485439e-04, 7.331461e-08, 6.846737e-08, 9.050439e-07, 2.087069e-08, 2.889407e-09, 1.827134e-07, 3.817195e-09, 2.542171e-08, 5.459332e-07, 2.211917e-07, 3.042536e-08, 2.647411e-08, 1.542875e-08, 3.943131e-07, 2.417616e-09, 2.879003e-07, 9.636461e-10, 1.067569e-09, 4.957901e-10, 7.846300e-09, 6.419421e-09, 4.204362e-09, 3.205198e-06, 6.057966e-09, 3.137352e-08, 3.780727e-10, 1.056158e-08, 8.903981e-10, 6.875820e-10, 4.029411e-08, 4.982499e-09, 4.961767e-10, 5.939120e-10, 1.398676e-02, 4.571745e+00, 1.402435e+04, 1.415369e+04
7.000000e-04, 6.806403e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028535e+01, 5.265401e+00, 8.292989e+07, 1.729457e+03, 1.729457e+03, 4.700000e+06, 3.531333e-03, 4.782656e-01, 2.092269e-05, 2.282032e-05, 1.953840e-01, 5.501549e-07, 4.968597e-08, 2.763127e-01, 3.265366e-02, 1.346335e-02, 1.206390e-05, 6.610281e-07, 3.007469e-06, 1.995234e-07, 1.511488e-07, 3.948492e-06, 3.170028e-08, 1.105506e-04, 4.703049e-08, 2.668064e-08, 6.126240e-05, 1.470882e-04, 7.304116e-08, 6.836183e-08, 8.796501e-07, 2.057547e-08, 2.852613e-09, 1.766448e-07, 3.627729e-09, 2.252667e-08, 5.187794e-07, 2.087964e-07, 2.872599e-08, 2.647422e-08, 1.386398e-08, 3.451188e-07, 2.084435e-09, 2.466072e-07, 8.943004e-10, 1.016799e-09, 4.238461e-10, 6.867852e-09, 5.380522e-09, 3.643616e-09, 3.190216e-06, 5.859131e-09, 2.716814e-08, 3.261997e-10, 9.027459e-09, 7.642489e-10, 5.247372e-10, 4.029426e-08, 3.921179e-09, 3.901041e-10, 4.602474e-10, 1.398681e-02, 4.571641e+00, 1.402341e+04, 1.415264e+04
8.000000e-04, 7.778613e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028558e+01, 5.265401e+00, 7.204405e+07, 1.729503e+03, 1.729503e+03, 4.700000e+06, 3.531346e-03, 4.782568e-01, 2.078851e-05, 1.986674e-05, 1.953931e-01, 5.466131e-07, 4.300018e-08, 2.763184e-01, 3.265028e-02, 1.346511e-02, 1.198929e-05, 6.516464e-07, 3.000487e-06, 1.982215e-07, 1.517079e-07, 3.934369e-06, 3.160244e-08, 1.110300e-04, 4.644627e-08, 2.397544e-08, 6.126093e-05, 1.456325e-04, 7.276771e-08, 6.825628e-08, 8.542561e-07, 2.028024e-08, 2.815820e-09, 1.705762e-07, 3.438263e-09, 1.963161e-08, 4.916255e-07, 1.964010e-07, 2.702660e-08, 2.647432e-08, 1.229919e-08, 2.959241e-07, 1.751252e-09, 2.053137e-07, 8.249541e-10, 9.660288e-10, 3.519014e-10, 5.889396e-09, 4.341615e-09, 3.082865e-09, 3.175235e-06, 5.660293e-09, 2.296273e-08, 2.743263e-10, 7.493328e-09, 6.380986e-10, 3.618911e-10, 4.029441e-08, 2.859851e-09, 2.840307e-10, 3.265817e-10, 1.398687e-02, 4.571536e+00, 1.402247e+04, 1.415158e+04
9.000000e-04, 8.750823e-05, 1.186247e+00, 1.119800e-01, 1.186247e+00, 1.028581e+01, 5.265401e+00, 6.129880e+07, 1.729549e+03, 1.729549e+03, 4.700000e+06, 3.531360e-03, 4.782479e-01, 2.065432e-05, 1.691312e-05, 1.954023e-01, 5.430713e-07, 3.631433e-08, 2.763241e-01, 3.264691e-02, 1.346687e-02, 1.191468e-05, 6.422646e-07, 2.993504e-06, 1.969197e-07, 1.522669e-07, 3.920245e-06, 3.150460e-08, 1.115094e-04, 4.586205e-08, 2.127023e-08, 6.125946e-05, 1.441767e-04, 7.249427e-08, 6.815074e-08, 8.288620e-07, 1.998500e-08, 2.779026e-09, 1.645075e-07, 3.248795e-09, 1.673652e-08, 4.644713e-07, 1.840056e-07, 2.532720e-08, 2.647442e-08, 1.073440e-08, 2.467290e-07, 1.418066e-09, 1.640199e-07, 7.556073e-10, 9.152582e-10, 2.799562e-10, 4.910933e-09, 3.302699e-09, 2.522110e-09, 3.160253e-06, 5.461455e-09, 1.875728e-08, 2.224524e-10, 5.959185e-09, 5.119474e-10, 1.990438e-10, 4.029455e-08, 1.798515e-09, 1.779564e-10, 1.929150e-10, 1.398692e-02, 4.571432e+00, 1.402153e+04, 1.415053e+04
