     Time [s]       ,                Y_H2,               Y_H2O,               Y_CH4,                Y_CO,               Y_CO2,  Temperature [K] 
 0.000000000000E+000, 3.327987929249E-002, 2.763147965731E-001, 8.327337502435E-005, 4.615305240187E-001, 2.243262343964E-001, 1.600000000000E+003
 0.000000000000E+000, 1.314172147338E-002, 3.121482515182E-001, 5.648628371203E-002, 2.457781787570E-001, 3.499244270168E-001, 1.600000000000E+003
 0.000000000000E+000, 1.314172147338E-002, 3.121482515182E-001, 5.648628371203E-002, 2.457781787570E-001, 3.499244270168E-001, 1.600000000000E+003
 0.000000000000E+000, 4.843357586070E-003, 2.996453511156E-001, 9.172646082837E-002, 8.905780859263E-002, 4.877600812476E-001, 1.411227371854E+003
