     Time [s]       ,                Y_H2,               Y_H2O,               Y_CH4,                Y_CO,               Y_CO2,  Temperature [K] 
 0.000000000000E+000, 3.332224206733E-002, 2.766041066019E-001, 8.338424316012E-005, 4.613270220873E-001, 2.241767353678E-001, 1.600000000000E+003
 0.000000000000E+000, 1.182873074136E-002, 3.172658393523E-001, 5.715672429988E-002, 2.243371006996E-001, 3.605564645322E-001, 1.600000000000E+003
 0.000000000000E+000, 1.182873074136E-002, 3.172658393523E-001, 5.715672429988E-002, 2.243371006996E-001, 3.605564645322E-001, 1.600000000000E+003
 0.000000000000E+000, 3.706788460666E-003, 3.081624628516E-001, 8.728674411699E-002, 6.689947361692E-002, 4.947002601855E-001, 1.412354840450E+003
