     Time [s]       ,                Y_H2,               Y_H2O,                Y_CO,               Y_CO2,               Y_CH4,  Temperature [K] 
 0.000000000000E+000, 3.327940522560E-002, 2.763487600111E-001, 4.615873854944E-001, 2.242389732185E-001, 8.323734004527E-005, 1.600000000000E+003
 0.000000000000E+000, 1.899067880092E-002, 2.997182755549E-001, 3.242251485357E-001, 3.031775376814E-001, 4.447246181264E-002, 1.600000000000E+003
 0.000000000000E+000, 1.899067880092E-002, 2.997182755549E-001, 3.242251485357E-001, 3.031775376814E-001, 4.447246181264E-002, 1.600000000000E+003
 0.000000000000E+000, 6.519477154955E-003, 3.003668063742E-001, 1.302709960394E-001, 4.527136793458E-001, 8.893268957740E-002, 1.358777493173E+003
