     Time [s]       ,                Y_H2,               Y_H2O,               Y_CH4,                Y_CO,               Y_CO2,  Temperature [K] 
 0.000000000000E+000, 7.489031590659E-002, 2.289571334044E-001, 7.724747308118E-004, 5.837321538831E-001, 1.044718704887E-001, 1.600000000000E+003
 0.000000000000E+000, 2.199693611729E-002, 3.764620574452E-001, 1.284276325155E-001, 2.126963258527E-001, 2.156524486717E-001, 1.600000000000E+003
 0.000000000000E+000, 2.199693611729E-002, 3.764620574452E-001, 1.284276325155E-001, 2.126963258527E-001, 2.156524486717E-001, 1.600000000000E+003
 0.000000000000E+000, 9.947037438436E-003, 4.055559887080E-001, 1.532267782615E-001, 9.557091249731E-002, 2.718973986155E-001, 1.484131941257E+003
